,基础属性部分,,,,,,,,,,,,,,,
名称,NO.,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径
默认粉毛,001,2,,,S,,A,,A,,A,,A,,,系统送
运动少年,004,3,,,S,,A,,A,,S,A,,中性风,,店/迷/幻
不羁,005,3,,,S,,A,,A,,A,S,,中性风,,定004
全民偶像,006,3,,,A,,S,,S,,B,S,,中性风,,定004
眷雅公子,007,2,,,B,,A,,S,,B,S,,中性风,,迷/3-12少
邻家哥哥,008,2,,,S,,S,A,,,C,A,,中性风,,定007
雪狼,009,2,,A,,A,,C,,S,,A,,中性风,,定007
完美学长,010,2,,,S,,B,,A,,A,A,,中性风,,店/迷/5-5少
神秘来客,011,2,,,S,A,,A,,,A,A,,中性风,,定010
奇幻使者,012,2,,,S,,S,,A,,C,S,,中性风,,定010
科学家,013,2,,,S,B,,,A,,C,S,,中性风,,店/迷/3-11少
咖啡店主,014,2,,,S,S,,,A,,C,A,,中性风,,定013
银翼侠,016,3,,A,,,S,S,,A,,S,,中性风,,店/迷/幻
浅慵,017,3,,,A,B,,,S,,S,A,,,,设计图/迷
金灿,018,3,,A,,,A,,S,A,,A,,,,定017
酒红,019,3,,S,,C,,,S,A,,S,,,,定017
粉白卷发,020,5,,SS,,,S,,A,B,,,SS,,,迷
金米卷发,021,5,,S,,S,,,A,,A,,S,,,定020
黑蓝卷发,022,5,,S,,S,,S,,S,,,S,,,定020
小熊·棕,023,3,,,A,,S,,A,,S,A,,,,迷
小熊·粉,024,3,,,A,,S,,A,,S,,A,,,定023
小熊·黑,025,3,,,A,A,,A,,,S,,A,,,定023
翘筝·蓝,026,5,,A,,SS,,SS,,S,,S,,,,设计图
翘筝·灰,027,5,,S,,SS,,A,,,B,S,,,,定026
翘筝·白,028,5,,SS,,S,,S,,A,,S,,,,定026
翘筝·金,029,5,,S,,A,,,A,,S,S,,,,定026
拜占庭之歌·红,030,3,,S,,A,,A,,A,,,A,,,迷/幻
拜占庭之歌·黄,031,4,,S,,S,,S,,,S,,A,,,定030
冰雪战士,032,2,,,S,B,,,B,A,,A,,中性风,,迷/2-3少
萌系正太,033,2,,,S,,A,,A,,A,A,,中性风,,定032
秋枫,034,2,,,S,C,,,A,,A,A,,中性风,,定032
蔷薇少女·金,035,4,,B,,B,,,S,,SS,,S,,,过关有礼/成就/套装成就
蔷薇少女·粉,036,4,,B,,A,,,SS,S,,,S,,,定035
蔷薇少女·银,037,4,,,A,S,,A,,,S,,A,,,定035
蔷薇少女·墨,038,4,,,A,S,,,S,,S,,A,,,定035
维多利亚,039,5,,S,,S,,,S,S,,S,,大小姐,,兑换
雏莺·苍绿,040,5,,A,,SS,,,B,,SS,,S,,,幻
雏莺·红,041,5,,A,,SS,,,B,S,,,S,,,定040
贵妇人,042,4,,,A,S,,S,,S,,S,,欧式古典,,幻
精灵·金,043,5,,SS,,SS,,,B,,A,,B,,,设计图
精灵·白,044,5,,S,,SS,,S,,S,,,B,,,定043
俏马尾,046,3,,,S,A,,,A,,B,S,,,,设计图
魏紫,048,3,,,A,,S,S,,A,,C,,,,定046
赵粉,049,3,,,A,,A,,S,A,,,A,,,定046
无忧,050,3,,,S,A,,,B,,A,A,,,,迷/幻/月签到奖励
无忧·妃,051,3,,,A,S,,,A,,S,,A,,,定050
无忧·黑,052,3,,,S,B,,,B,,S,,S,,,定050
向阳花,053,4,,C,,,SS,,SS,,S,B,,,,迷/幻/成就
米花蝶,054,4,,B,,,S,,A,,SS,B,,,,定053
童心,055,4,,,S,A,,,B,,S,S,,,,定053
青葱岁月,056,4,,,S,S,,,B,,A,,S,,,迷/幻
云端舞娘,057,5,,SS,,A,,SS,,,A,,B,中式古典,舞者,店
轻音尘,058,5,,S,,,S,,S,,S,,B,,,幻
